318i Standart,2007,Benzin & LPG,Otomatik,267000,163,1995 cc,210000
320d Standart,2002,Dizel,Manuel,257000,163,1995 cc,165000
318is,1997,Benzin,Manuel,260000,163,1796 cc,115000
318is,1998,Benzin & LPG,Manuel,235000,163,1895 cc,157000
320d M Sport,2011,Dizel,Otomatik,213000,163,1995 cc,312000
320i ED Standart,2013,Benzin,Otomatik,69000,163,1598 cc,523000
316i M Sport,2014,Benzin,Yarı Otomatik,175000,163,1598 cc,540000
320i ED Modern Line Plus,2014,Benzin,Otomatik,73000,163,1598 cc,620000
320i First Edition M Sport,2020,Benzin,Otomatik,9000,163,1597 cc,1100000
325i Standart,1984,Benzin,Manuel,243000,163,2001 - 2500 cm3,158000
320d M Sport,2013,Dizel,Yarı Otomatik,195000,163,1995 cc,515000
316i Sport Line,2013,Benzin,Yarı Otomatik,147000,163,1598 cc,525000
320d Edition Comfort,2011,Dizel,Otomatik,250000,163,1995 cc,279500
318i Standart,2006,Benzin & LPG,Otomatik,274000,163,1995 cc,242500
320d Techno Plus,2013,Dizel,Yarı Otomatik,288500,163,1995 cc,438500
320d Comfort,2012,Dizel,Yarı Otomatik,201000,163,1995 cc,497500
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,83773,163,1598 cc,720000
318tds Touring,1996,Dizel,Manuel,170000,163,1665 cc,180000
320i ED Sport Line,2014,Benzin,Yarı Otomatik,211000,163,1598 cc,457900
320d Edition Comfort,2011,Dizel,Otomatik,194000,163,1995 cc,340000
320d xDrive Edition M Sport,2017,Dizel,Otomatik,109000,163,1995 cc,928000
318i Prestige,2017,Benzin,Yarı Otomatik,77000,163,1499 cc,636000
320i,2000,Benzin & LPG,Otomatik,160000,163,1991 cc,215000
316i Comfort,2012,Benzin & LPG,Otomatik,183000,163,1598 cc,319000
316i Standart,2013,Benzin,Otomatik,159000,163,1598 cc,435000
320d Standart,2011,Dizel,Otomatik,239000,163,1995 cc,285000
320d Premium Line,2018,Dizel,Otomatik,81277,163,1995 cc,810000
318i Prestige,2016,Benzin,Yarı Otomatik,150000,163,1499 cc,550000
316i Standart,2011,Benzin,Otomatik,120000,163,1596 cc,304000
320i,2011,Benzin,Otomatik,149000,163,1995 cc,497500
320d GT Premium,2013,Dizel,Yarı Otomatik,294000,163,1995 cc,525000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,71000,163,1598 cc,655000
318Ci,2004,Benzin & LPG,Otomatik,221000,163,1995 cc,195000
320i First Edition Sport Line,2020,Benzin,Otomatik,24500,163,1597 cc,1100000
320i ED Luxury M Plus,2014,Benzin,Otomatik,199000,163,1598 cc,572000
320i Cabrio,2008,Benzin,Otomatik,174000,163,1995 cc,485000
320d Standart,2003,Dizel,Otomatik,225000,163,1995 cc,215000
320d Comfort,2010,Dizel,Yarı Otomatik,180000,163,1995 cc,339000
